GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
IP!4371C!FF!1 mg!79088011000036104!arsenic!79114011000036104!arsenic trioxide 10 mg/10 mL injection, vial!Phenasen!78669011000036101!Phenasen 10 mg/10 mL injection, 10 mL vial!10!18!243.50!243.50!
IP!4371C!JU!1 mg!79088011000036104!arsenic!79114011000036104!arsenic trioxide 10 mg/10 mL injection, vial!Arsenic Trioxide Juno!509541000144102!Arsenic trioxide (Juno) 10 mg/10 mL injection, 10 x 10 mL vials!10!18!243.50!243.50!
IP!4375G!JU!1 mg!21230011000036100!epirubicin!22188011000036109!epirubicin hydrochloride 100 mg/50 mL injection, vial!Epirubicin ACT!180501000036104!Epirubicin Hydrochloride (Act) 100 mg/50 mL injection, 50 mL vial!100!220!32.09!32.09!
IP!4375G!JU!1 mg!21230011000036100!epirubicin!23319011000036104!epirubicin hydrochloride 50 mg/25 mL injection, vial!Epirubicin ACT!653281000168104!Epirubicin Hydrochloride (Act) 50 mg/25 mL injection, 25 mL vial!50!220!16.05!16.05!
IP!4375G!JU!1 mg!21230011000036100!epirubicin!22189011000036101!epirubicin hydrochloride 200 mg/100 mL injection, vial!Epirubicin ACT!653181000168106!Epirubicin Hydrochloride (Act) 200 mg/100 mL injection, 100 mL vial!200!220!64.18!64.18!
IP!4375G!OC!1 mg!21230011000036100!epirubicin!22189011000036101!epirubicin hydrochloride 200 mg/100 mL injection, vial!Epirubicin Accord!893671000168104!Epirubicin (Accord) 200 mg/100 mL injection, 100 mL vial!200!220!64.18!64.18!
IP!4375G!TB!1 mg!21230011000036100!epirubicin!22189011000036101!epirubicin hydrochloride 200 mg/100 mL injection, vial!Epirube!937491000168106!Epirube 200 mg/100 mL injection, 100 mL vial!200!220!64.18!64.18!
IP!4375G!TB!1 mg!21230011000036100!epirubicin!23319011000036104!epirubicin hydrochloride 50 mg/25 mL injection, vial!Epirube!937521000168108!Epirube 50 mg/25 mL injection, 25 mL vial!50!220!16.05!16.05!
IP!4376H!SW!1 mg!46261000036104!cabazitaxel!41511000036105!cabazitaxel 60 mg/1.5 mL injection, vial!Jevtana!41501000036108!Jevtana (cabazitaxel 60 mg/1.5 mL) injection, 1.5 mL vial!60!55!2850.00!2850.00!
IP!4393F!SZ!1 mg!39430011000036109!fludarabine!50989011000036103!fludarabine phosphate 50 mg/2 mL injection, vial!Fludarabine Ebewe!48791011000036100!Fludarabine Phosphate (Ebewe) 50 mg/2 mL injection, 2 mL vial!50!55!31.84!31.84!
IP!4393F!JU!1 mg!39430011000036109!fludarabine!39441011000036101!fludarabine phosphate 50 mg injection, vial!Fludarabine AMNEAL!1102021000168106!Fludarabine (Amneal) 50 mg powder for injection, 50 mg vial!50!55!31.84!31.84!
IP!4393F!JO!1 mg!39430011000036109!fludarabine!39441011000036101!fludarabine phosphate 50 mg injection, vial!Fludarabine Juno!1337471000168102!Fludarabine (Juno) 50 mg powder for injection, 50 mg vial!50!55!31.84!31.84!
IP!4394G!SZ!1 mg!21481011000036100!fluorouracil!23578011000036102!fluorouracil 1 g/20 mL injection, vial!Fluorouracil Ebewe!7556011000036109!Fluorouracil (Ebewe) 1 g/20 mL injection, 20 mL vial!1000!5500!7.09!7.09!
IP!4394G!PF!1 mg!21481011000036100!fluorouracil!45286011000036108!fluorouracil 2.5 g/50 mL injection, vial!DBL Fluorouracil Injection BP!40278011000036106!Fluorouracil (DBL) 2.5 g/50 mL injection, 50 mL vial!2500!5500!17.73!17.73!
IP!4394G!PF!1 mg!21481011000036100!fluorouracil!23577011000036103!fluorouracil 500 mg/10 mL injection, vial!DBL Fluorouracil Injection BP!5449011000036107!Fluorouracil (DBL) 500 mg/10 mL injection, 10 mL vial!500!5500!3.55!3.55!
IP!4394G!SZ!1 mg!21481011000036100!fluorouracil!932753011000036100!fluorouracil 5 g/100 mL injection, vial!Fluorouracil Ebewe!932752011000036107!Fluorouracil (Ebewe) 5 g/100 mL injection, 100 mL vial!5000!5500!35.46!35.46!
IP!4394G!OC!1 mg!21481011000036100!fluorouracil!23578011000036102!fluorouracil 1 g/20 mL injection, vial!Fluorouracil Accord!1188511000168106!Fluorouracil (Accord) 1 g/20 mL injection, 20 mL vial!1000!5500!7.09!7.09!
IP!4394G!OC!1 mg!21481011000036100!fluorouracil!45286011000036108!fluorouracil 2.5 g/50 mL injection, vial!Fluorouracil Accord!1188781000168106!Fluorouracil (Accord) 2.5 g/50 mL injection, 50 mL vial!2500!5500!17.73!17.73!
IP!4394G!OC!1 mg!21481011000036100!fluorouracil!932753011000036100!fluorouracil 5 g/100 mL injection, vial!Fluorouracil Accord!1188631000168102!Fluorouracil (Accord) 5 g/100 mL injection, 100 mL vial!5000!5500!35.46!35.46!
IP!4394G!OC!1 mg!21481011000036100!fluorouracil!23577011000036103!fluorouracil 500 mg/10 mL injection, vial!Fluorouracil Accord!1199381000168101!Fluorouracil (Accord) 500 mg/10 mL injection, 10 mL vial!500!5500!3.55!3.55!
IP!4400N!RO!1 mg!44904011000036105!bevacizumab!45380011000036101!bevacizumab 100 mg/4 mL injection, vial!Avastin!40416011000036104!Avastin 100 mg/4 mL injection, 4 mL vial!100!900!303.94!303.94!
IP!4400N!RO!1 mg!44904011000036105!bevacizumab!45381011000036108!bevacizumab 400 mg/16 mL injection, vial!Avastin!40417011000036101!Avastin 400 mg/16 mL injection, 16 mL vial!400!900!1215.75!1215.75!
IP!4428C!SZ!1 mg!21469011000036104!etoposide!23503011000036101!etoposide 100 mg/5 mL injection, vial!Etoposide Ebewe!7456011000036100!Etoposide (Ebewe) 100 mg/5 mL injection, 5 mL vial!100!440!38.70!38.70!
IP!4428C!LM!1 mg!21469011000036104!etoposide!793581000168102!etoposide phosphate 1.136 g (etoposide 1 g) injection, vial!Etopophos!793591000168104!Etopophos 1.136 g (etoposide 1 g) powder for injection, 1.136 g vial!1000!440!387.00!387.00!
IP!4428C!PF!1 mg!21469011000036104!etoposide!23503011000036101!etoposide 100 mg/5 mL injection, vial!Pfizer Australia Pty Ltd!36067011000036102!Etoposide (Pfizer (Perth)) 100 mg/5 mL injection, 5 mL vial!100!440!38.70!38.70!
IP!4431F!SZ!1 mg!21481011000036100!fluorouracil!23578011000036102!fluorouracil 1 g/20 mL injection, vial!Fluorouracil Ebewe!7556011000036109!Fluorouracil (Ebewe) 1 g/20 mL injection, 20 mL vial!1000!1000!7.09!7.09!
IP!4431F!PF!1 mg!21481011000036100!fluorouracil!45286011000036108!fluorouracil 2.5 g/50 mL injection, vial!DBL Fluorouracil Injection BP!40278011000036106!Fluorouracil (DBL) 2.5 g/50 mL injection, 50 mL vial!2500!1000!17.73!17.73!
IP!4431F!PF!1 mg!21481011000036100!fluorouracil!23577011000036103!fluorouracil 500 mg/10 mL injection, vial!DBL Fluorouracil Injection BP!5449011000036107!Fluorouracil (DBL) 500 mg/10 mL injection, 10 mL vial!500!1000!3.55!3.55!
IP!4431F!SZ!1 mg!21481011000036100!fluorouracil!932753011000036100!fluorouracil 5 g/100 mL injection, vial!Fluorouracil Ebewe!932752011000036107!Fluorouracil (Ebewe) 5 g/100 mL injection, 100 mL vial!5000!1000!35.46!35.46!
IP!4431F!OC!1 mg!21481011000036100!fluorouracil!23578011000036102!fluorouracil 1 g/20 mL injection, vial!Fluorouracil Accord!1188511000168106!Fluorouracil (Accord) 1 g/20 mL injection, 20 mL vial!1000!1000!7.09!7.09!
IP!4431F!OC!1 mg!21481011000036100!fluorouracil!45286011000036108!fluorouracil 2.5 g/50 mL injection, vial!Fluorouracil Accord!1188781000168106!Fluorouracil (Accord) 2.5 g/50 mL injection, 50 mL vial!2500!1000!17.73!17.73!
IP!4431F!OC!1 mg!21481011000036100!fluorouracil!932753011000036100!fluorouracil 5 g/100 mL injection, vial!Fluorouracil Accord!1188631000168102!Fluorouracil (Accord) 5 g/100 mL injection, 100 mL vial!5000!1000!35.46!35.46!
IP!4431F!OC!1 mg!21481011000036100!fluorouracil!23577011000036103!fluorouracil 500 mg/10 mL injection, vial!Fluorouracil Accord!1199381000168101!Fluorouracil (Accord) 500 mg/10 mL injection, 10 mL vial!500!1000!3.55!3.55!
IP!4433H!PF!1 iu!857781000168109!bleomycin!23152011000036109!bleomycin sulfate 15 000 international units injection, vial!DBL Bleomycin Sulfate!5394011000036109!Bleomycin Sulfate (DBL) 15 000 international units powder for injection, 15 000 international units vial!15000!30000!40.00!40.00!
IP!4433H!LR!1 iu!857781000168109!bleomycin!23152011000036109!bleomycin sulfate 15 000 international units injection, vial!CIPLA BLEOMYCIN!767161000168105!Bleomycin 15K (Cipla) 15 000 international units powder for injection, 15 000 international units vial!15000!30000!40.00!40.00!
IP!4435K!SG!1 mg!21547011000036105!cetuximab!34858011000036102!cetuximab 100 mg/20 mL injection, vial!Erbitux!33990011000036101!Erbitux 100 mg/20 mL injection, 20 mL vial!100!550!291.56!291.56!
IP!4435K!SG!1 mg!21547011000036105!cetuximab!34859011000036105!cetuximab 500 mg/100 mL injection, vial!Erbitux!33991011000036108!Erbitux 500 mg/100 mL injection, 100 mL vial!500!550!1457.78!1457.78!
IP!4436L!SG!1 mg!21547011000036105!cetuximab!34858011000036102!cetuximab 100 mg/20 mL injection, vial!Erbitux!33990011000036101!Erbitux 100 mg/20 mL injection, 20 mL vial!100!880!291.56!291.56!
IP!4436L!SG!1 mg!21547011000036105!cetuximab!34859011000036105!cetuximab 500 mg/100 mL injection, vial!Erbitux!33991011000036108!Erbitux 500 mg/100 mL injection, 100 mL vial!500!880!1457.78!1457.78!
IP!4437M!SE!1 mg!21336011000036105!fotemustine!22486011000036106!fotemustine 208 mg injection, vial!Muphoran!5065011000036107!Muphoran (fotemustine 208 mg) powder for injection, 208 mg vial!208!220!880.75!880.75!
IP!4439P!PF!1 mg!21644011000036108!gemcitabine!923987011000036103!gemcitabine 1 g/26.3 mL injection, vial!DBL Gemcitabine Injection!923066011000036109!Gemcitabine (DBL) 1 g/26.3 mL injection, 26.3 mL vial!1000!3000!24.31!24.31!
IP!4439P!PF!1 mg!21644011000036108!gemcitabine!923988011000036102!gemcitabine 2 g/52.6 mL injection, vial!DBL Gemcitabine Injection!923067011000036107!Gemcitabine (DBL) 2 g/52.6 mL injection, 52.6 mL vial!2000!3000!38.74!38.74!
IP!4440Q!PF!1 mg!21720011000036108!idarubicin!22953011000036109!idarubicin hydrochloride 5 mg/5 mL injection, vial!Zavedos Solution!6485011000036102!Zavedos 5 mg/5 mL injection, 5 mL vial!5!30!29.91!29.91!
IP!4440Q!PF!1 mg!21720011000036108!idarubicin!33681011000036108!idarubicin hydrochloride 10 mg/10 mL injection, vial!Zavedos Solution!33090011000036107!Zavedos 10 mg/10 mL injection, 10 mL vial!10!30!44.04!44.04!
IP!4448D!BX!1 mg!21291011000036102!ifosfamide!22824011000036102!ifosfamide 1 g injection, vial!Holoxan!6258011000036101!Holoxan 1 g powder for injection, vial!1000!4000!49.16!49.16!
IP!4448D!BX!1 mg!21291011000036102!ifosfamide!22823011000036104!ifosfamide 2 g injection, vial!Holoxan!6257011000036102!Holoxan 2 g powder for injection, 2 g vial!2000!4000!98.34!98.34!
IP!4451G!OE!1 mg!21503011000036106!irinotecan!23569011000036102!irinotecan hydrochloride trihydrate 100 mg/5 mL injection, vial!Omegapharm Irinotecan!73785011000036105!Irinotecan Hydrochloride Trihydrate (Omegapharm) 100 mg/5 mL injection, 5 mL vial!100!800!8.11!8.11!
IP!4451G!AF!1 mg!21503011000036106!irinotecan!23569011000036102!irinotecan hydrochloride trihydrate 100 mg/5 mL injection, vial!Irinotecan Alphapharm!82020011000036100!Irinotecan Hydrochloride Trihydrate (Alphapharm) 100 mg/5 mL injection, 5 mL vial!100!800!8.11!8.11!
IP!4451G!PK!1 mg!21503011000036106!irinotecan!23569011000036102!irinotecan hydrochloride trihydrate 100 mg/5 mL injection, vial!Irinotecan Kabi!933220371000036101!Irinotecan Hydrochloride Trihydrate (Kabi) 100 mg/5 mL injection, 5 mL vial!100!800!8.11!8.11!
IP!4451G!OE!1 mg!21503011000036106!irinotecan!23561011000036101!irinotecan hydrochloride trihydrate 40 mg/2 mL injection, vial!Omegapharm Irinotecan!73833011000036104!Irinotecan Hydrochloride Trihydrate (Omegapharm) 40 mg/2 mL injection, 2 mL vial!40!800!3.25!3.25!
IP!4451G!AF!1 mg!21503011000036106!irinotecan!32696011000036109!irinotecan hydrochloride trihydrate 500 mg/25 mL injection, vial!Irinotecan Alphapharm!26471000036106!Irinotecan Hydrochloride Trihydrate (Alphapharm) 500 mg/25 mL injection, 25 mL vial!500!800!40.57!40.57!
IP!4451G!LR!1 mg!21503011000036106!irinotecan!23569011000036102!irinotecan hydrochloride trihydrate 100 mg/5 mL injection, vial!MEDITAB IRINOTECAN!78501000036103!Irinotecan Hydrochloride Trihydrate (Meditab) 100 mg/5 mL injection, 5 mL vial!100!800!8.11!8.11!
IP!4451G!LR!1 mg!21503011000036106!irinotecan!23561011000036101!irinotecan hydrochloride trihydrate 40 mg/2 mL injection, vial!MEDITAB IRINOTECAN!766951000168108!Irinotecan (Meditab) 40 mg/2 mL injection, 2 mL vial!40!800!3.25!3.25!
IP!4451G!OC!1 mg!21503011000036106!irinotecan!23569011000036102!irinotecan hydrochloride trihydrate 100 mg/5 mL injection, vial!Irinotecan Accord!1179321000168106!Irinotecan (Accord) 100 mg/5 mL injection, 5 mL vial!100!800!8.11!8.11!
IP!4502Y!PF!1 mg!21342011000036105!methotrexate!22290011000036105!methotrexate 5 mg/2 mL injection, vial!DBL Methotrexate!4940011000036105!Methotrexate (DBL) 5 mg/2 mL injection, 2 mL vial!5!250!5.37!5.37!
IP!4502Y!PF!1 mg!21342011000036105!methotrexate!22291011000036103!methotrexate 50 mg/2 mL injection, vial!DBL Methotrexate!5460011000036106!Methotrexate (DBL) 50 mg/2 mL injection, 2 mL vial!50!250!5.10!5.10!
IP!4502Y!PF!1 mg!21342011000036105!methotrexate!23580011000036105!methotrexate 1 g/10 mL injection, vial!DBL Methotrexate!4918011000036104!Methotrexate (DBL) 1 g/10 mL injection, 10 mL vial!1000!250!37.67!37.67!
IP!4502Y!PF!1 mg!21342011000036105!methotrexate!22525011000036104!methotrexate 500 mg/20 mL injection, vial!DBL Methotrexate!5154011000036108!Methotrexate (DBL) 500 mg/20 mL injection, 20 mL vial!500!250!51.00!51.00!
IP!4502Y!SZ!1 mg!21342011000036105!methotrexate!22117011000036105!methotrexate 5 g/50 mL injection, vial!Methotrexate Ebewe!5283011000036101!Methotrexate (Ebewe) 5 g/50 mL injection, 50 mL vial!5000!250!188.35!188.35!
IP!4502Y!EA!1 mg!21342011000036105!methotrexate!23580011000036105!methotrexate 1 g/10 mL injection, vial!Methaccord!78201000036101!Methaccord 1 g/10 mL injection, 10 mL vial!1000!250!37.67!37.67!
IP!4502Y!PF!1 mg!21342011000036105!methotrexate!23580011000036105!methotrexate 1 g/10 mL injection, vial!Pfizer Australia Pty Ltd!36048011000036105!Methotrexate (Pfizer (Perth)) 1 g/10 mL injection, 10 mL vial!1000!250!37.67!37.67!
IP!4502Y!OD!1 mg!21342011000036105!methotrexate!23580011000036105!methotrexate 1 g/10 mL injection, vial!Methotrexate Accord!894051000168104!Methotrexate (Accord) 1 g/10 mL injection, 10 mL vial!1000!250!37.67!37.67!
IP!4502Y!OD!1 mg!21342011000036105!methotrexate!22291011000036103!methotrexate 50 mg/2 mL injection, vial!Methotrexate Accord!894241000168105!Methotrexate (Accord) 50 mg/2 mL injection, 2 mL vial!50!250!5.10!5.10!
IP!4512L!PF!1 mg!21342011000036105!methotrexate!22290011000036105!methotrexate 5 mg/2 mL injection, vial!DBL Methotrexate!4940011000036105!Methotrexate (DBL) 5 mg/2 mL injection, 2 mL vial!5!20000!5.37!5.37!
IP!4512L!PF!1 mg!21342011000036105!methotrexate!22291011000036103!methotrexate 50 mg/2 mL injection, vial!DBL Methotrexate!5460011000036106!Methotrexate (DBL) 50 mg/2 mL injection, 2 mL vial!50!20000!5.10!5.10!
IP!4512L!PF!1 mg!21342011000036105!methotrexate!23580011000036105!methotrexate 1 g/10 mL injection, vial!DBL Methotrexate!4918011000036104!Methotrexate (DBL) 1 g/10 mL injection, 10 mL vial!1000!20000!37.67!37.67!
IP!4512L!PF!1 mg!21342011000036105!methotrexate!22525011000036104!methotrexate 500 mg/20 mL injection, vial!DBL Methotrexate!5154011000036108!Methotrexate (DBL) 500 mg/20 mL injection, 20 mL vial!500!20000!51.00!51.00!
IP!4512L!SZ!1 mg!21342011000036105!methotrexate!22117011000036105!methotrexate 5 g/50 mL injection, vial!Methotrexate Ebewe!5283011000036101!Methotrexate (Ebewe) 5 g/50 mL injection, 50 mL vial!5000!20000!188.35!188.35!
IP!4512L!EA!1 mg!21342011000036105!methotrexate!23580011000036105!methotrexate 1 g/10 mL injection, vial!Methaccord!78201000036101!Methaccord 1 g/10 mL injection, 10 mL vial!1000!20000!37.67!37.67!
IP!4512L!PF!1 mg!21342011000036105!methotrexate!23580011000036105!methotrexate 1 g/10 mL injection, vial!Pfizer Australia Pty Ltd!36048011000036105!Methotrexate (Pfizer (Perth)) 1 g/10 mL injection, 10 mL vial!1000!20000!37.67!37.67!
IP!4512L!OD!1 mg!21342011000036105!methotrexate!23580011000036105!methotrexate 1 g/10 mL injection, vial!Methotrexate Accord!894051000168104!Methotrexate (Accord) 1 g/10 mL injection, 10 mL vial!1000!20000!37.67!37.67!
IP!4512L!OD!1 mg!21342011000036105!methotrexate!22291011000036103!methotrexate 50 mg/2 mL injection, vial!Methotrexate Accord!894241000168105!Methotrexate (Accord) 50 mg/2 mL injection, 2 mL vial!50!20000!5.10!5.10!
IP!4514N!BX!1 mg!21652011000036102!mitozantrone!23309011000036101!mitozantrone 20 mg/10 mL injection, vial!Onkotrone!6796011000036103!Onkotrone 20 mg/10 mL injection, 10 mL vial!20!30!46.30!46.30!
IP!4514N!SZ!1 mg!21652011000036102!mitozantrone!23309011000036101!mitozantrone 20 mg/10 mL injection, vial!Mitozantrone Ebewe!4969011000036106!Mitozantrone (Ebewe) 20 mg/10 mL injection, 10 mL vial!20!30!46.30!46.30!
IP!4514N!BX!1 mg!21652011000036102!mitozantrone!23111011000036106!mitozantrone 25 mg/12.5 mL injection, vial!Onkotrone!6797011000036100!Onkotrone 25 mg/12.5 mL injection, 12.5 mL vial!25!30!57.84!57.84!
IP!4531L!TS!1 mg!73356011000036109!nanoparticle albumin-bound paclitaxel!1276331000168100!paclitaxel (as nanoparticle albumin-bound) 100 mg injection, vial!Abraxane!1276341000168109!Abraxane 100 mg powder for injection, 100 mg vial!100!580!343.27!343.27!
IP!4542C!PF!1 mg!21543011000036101!oxaliplatin!21971011000036105!oxaliplatin 100 mg/20 mL injection, vial!DBL Oxaliplatin Concentrate!87301011000036101!Oxaliplatin (DBL) 100 mg/20 mL injection, 20 mL vial!100!300!19.74!19.74!
IP!4542C!RA!1 mg!21543011000036101!oxaliplatin!21971011000036105!oxaliplatin 100 mg/20 mL injection, vial!Oxaliplatin SUN!933220511000036103!Oxaliplatin (Sun) 100 mg/20 mL injection, 20 mL vial!100!300!19.74!19.74!
IP!4542C!RA!1 mg!21543011000036101!oxaliplatin!22170011000036101!oxaliplatin 200 mg/40 mL injection, vial!Oxaliplatin SUN!933220521000036105!Oxaliplatin (Sun) 200 mg/40 mL injection, 40 mL vial!200!300!39.48!39.48!
IP!4542C!OC!1 mg!21543011000036101!oxaliplatin!21971011000036105!oxaliplatin 100 mg/20 mL injection, vial!Oxaliplatin Accord!937291000168107!Oxaliplatin (Accord) 100 mg/20 mL injection, 20 mL vial!100!300!19.74!19.74!
IP!4567J!PF!1 mg!21604011000036104!paclitaxel!23582011000036109!paclitaxel 100 mg/16.7 mL injection, vial!Anzatax!5246011000036104!Anzatax 100 mg/16.7 mL injection, 16.7 mL vial!100!450!16.55!16.55!
IP!4567J!PK!1 mg!21604011000036104!paclitaxel!23581011000036103!paclitaxel 30 mg/5 mL injection, vial!Paclitaxel Kabi!924443011000036103!Paclitaxel (Kabi) 30 mg/5 mL injection, 5 mL vial!30!450!4.97!4.97!
IP!4567J!PF!1 mg!21604011000036104!paclitaxel!23584011000036100!paclitaxel 300 mg/50 mL injection, vial!Anzatax!7247011000036100!Anzatax 300 mg/50 mL injection, 50 mL vial!300!450!49.66!49.66!
IP!4567J!SZ!1 mg!21604011000036104!paclitaxel!23584011000036100!paclitaxel 300 mg/50 mL injection, vial!Paclitaxel Ebewe!7562011000036100!Paclitaxel (Ebewe) 300 mg/50 mL injection, 50 mL vial!300!450!49.66!49.66!
IP!4567J!PK!1 mg!21604011000036104!paclitaxel!23584011000036100!paclitaxel 300 mg/50 mL injection, vial!Paclitaxel Kabi!924445011000036102!Paclitaxel (Kabi) 300 mg/50 mL injection, 50 mL vial!300!450!49.66!49.66!
IP!4567J!PF!1 mg!21604011000036104!paclitaxel!23583011000036102!paclitaxel 150 mg/25 mL injection, vial!Anzatax!5281011000036102!Anzatax 150 mg/25 mL injection, 25 mL vial!150!450!24.83!24.83!
IP!4567J!TB!1 mg!21604011000036104!paclitaxel!23582011000036109!paclitaxel 100 mg/16.7 mL injection, vial!Paclitaxin!937591000168105!Paclitaxin 100 mg/16.7 mL injection, 16.7 mL vial!100!450!16.55!16.55!
IP!4567J!TB!1 mg!21604011000036104!paclitaxel!23583011000036102!paclitaxel 150 mg/25 mL injection, vial!Paclitaxin!937621000168107!Paclitaxin 150 mg/25 mL injection, 25 mL vial!150!450!24.83!24.83!
IP!4567J!TB!1 mg!21604011000036104!paclitaxel!23581011000036103!paclitaxel 30 mg/5 mL injection, vial!Paclitaxin!937651000168104!Paclitaxin 30 mg/5 mL injection, 5 mL vial!30!450!4.97!4.97!
IP!4567J!TB!1 mg!21604011000036104!paclitaxel!23584011000036100!paclitaxel 300 mg/50 mL injection, vial!Paclitaxin!937821000168106!Paclitaxin 300 mg/50 mL injection, 50 mL vial!300!450!49.66!49.66!
IP!4567J!OC!1 mg!21604011000036104!paclitaxel!23584011000036100!paclitaxel 300 mg/50 mL injection, vial!Paclitaxel Accord!937401000168100!Paclitaxel (Accord) 300 mg/50 mL injection, 50 mL vial!300!450!49.66!49.66!
IP!4600D!LY!1 mg!21321011000036102!pemetrexed!33664011000036108!pemetrexed 100 mg injection, vial!Alimta!33068011000036106!Alimta 100 mg powder for injection, 100 mg vial!100!1100!9.20!9.20!
IP!4600D!LY!1 mg!21321011000036102!pemetrexed!23510011000036107!pemetrexed 500 mg injection, vial!Alimta!7463011000036102!Alimta 500 mg powder for injection, 500 mg vial!500!1100!45.98!45.98!
IP!4600D!AF!1 mg!21321011000036102!pemetrexed!23510011000036107!pemetrexed 500 mg injection, vial!Reladdin!742571000168104!Reladdin 500 mg powder for injection, 500 mg vial!500!1100!45.98!45.98!
IP!4600D!TX!1 mg!21321011000036102!pemetrexed!23510011000036107!pemetrexed 500 mg injection, vial!Pemetrexed APOTEX!742661000168106!Pemetrexed (Apotex) 500 mg powder for injection, 500 mg vial!500!1100!45.98!45.98!
IP!4600D!AF!1 mg!21321011000036102!pemetrexed!33664011000036108!pemetrexed 100 mg injection, vial!Reladdin!742541000168106!Reladdin 100 mg powder for injection, 100 mg vial!100!1100!9.20!9.20!
IP!4600D!TB!1 mg!21321011000036102!pemetrexed!33664011000036108!pemetrexed 100 mg injection, vial!Tevatrexed!815361000168103!Tevatrexed 100 mg powder for injection, 100 mg vial!100!1100!9.20!9.20!
IP!4600D!TB!1 mg!21321011000036102!pemetrexed!23510011000036107!pemetrexed 500 mg injection, vial!Tevatrexed!815331000168106!Tevatrexed 500 mg powder for injection, 500 mg vial!500!1100!45.98!45.98!
IP!4600D!OD!1 mg!21321011000036102!pemetrexed!33664011000036108!pemetrexed 100 mg injection, vial!Pemetrexed Accord!747201000168109!Pemetrexed (Accord) 100 mg powder for injection, 100 mg vial!100!1100!9.20!9.20!
IP!4600D!OD!1 mg!21321011000036102!pemetrexed!23510011000036107!pemetrexed 500 mg injection, vial!Pemetrexed Accord!747171000168105!Pemetrexed (Accord) 500 mg powder for injection, 500 mg vial!500!1100!45.98!45.98!
IP!4600D!OD!1 mg!21321011000036102!pemetrexed!742871000168101!pemetrexed 1 g injection, vial!Pemetrexed Accord!747231000168102!Pemetrexed (Accord) 1 g powder for injection, vial!1000!1100!91.96!91.96!
IP!4600D!RA!1 mg!21321011000036102!pemetrexed!742871000168101!pemetrexed 1 g injection, vial!Pemetrexed SUN!1300211000168103!Pemetrexed (Sun) 1 g powder for injection, vial!1000!1100!91.96!91.96!
IP!4600D!RA!1 mg!21321011000036102!pemetrexed!33664011000036108!pemetrexed 100 mg injection, vial!Pemetrexed SUN!1304111000168101!Pemetrexed (Sun) 100 mg powder for injection, 100 mg vial!100!1100!9.20!9.20!
IP!4600D!RA!1 mg!21321011000036102!pemetrexed!23510011000036107!pemetrexed 500 mg injection, vial!Pemetrexed SUN!1304141000168102!Pemetrexed (Sun) 500 mg powder for injection, 500 mg vial!500!1100!45.98!45.98!
IP!4610P!PF!1 mg!21754011000036102!raltitrexed!22680011000036106!raltitrexed 2 mg injection, vial!Tomudex!6036011000036105!Tomudex 2 mg powder for injection, 2 mg vial!2!7!260.71!260.71!
IP!4613T!RO!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Mabthera!6234011000036109!Mabthera 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!4613T!RO!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Mabthera!6235011000036108!Mabthera 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4613T!SZ!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Riximyo!1056431000168104!Riximyo 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!4613T!SZ!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Riximyo!1056371000168108!Riximyo 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4613T!EW!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Truxima!1124031000168106!Truxima 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!4613T!EW!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Truxima!1123861000168107!Truxima 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4614W!RO!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Mabthera!6234011000036109!Mabthera 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!4614W!RO!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Mabthera!6235011000036108!Mabthera 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4614W!SZ!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Riximyo!1056431000168104!Riximyo 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!4614W!SZ!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Riximyo!1056371000168108!Riximyo 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4614W!EW!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Truxima!1124031000168106!Truxima 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
